tickers,company,listed_market,listing_date,issue_price,company_website,business_address,main_business
000065,北方国际,深圳证券交易所,1998-06-05,3.98,http://www.norinco-intl.com,北京市石景山区政达路6号院北方国际大厦,"国际工程承包、国内建筑工程和房地产业务,重型装备出口贸易、物流服务、物流自动化设备系统集成服务、太阳能产品贸易及新能源项目开发、金属包装容器的生产和销售等业务。"
000066,中国长城,深圳证券交易所,1997-06-26,6.58,http://www.greatwall.com.cn,广东省深圳市南山区科技园中电长城大厦,网络安全与信息化、高新电子、电源、园区与物业服务及其他业务。
000068,华控赛格,深圳证券交易所,1997-06-11,5.45,http://www.huakongseg.com.cn,广东省深圳市福田区太平金融大厦29楼,受托资产管理、投资咨询、企业管理咨询、经济信息咨询(不含银行、证券、保险、基金等金融业务、人才中介服务及其他限制项目);市场营销策划;投资兴办实业(具体项目另行申报);国内贸易(不含专营、专控、专卖商品);货物及技术进出口业务。
000069,华侨城A,深圳证券交易所,1997-09-10,6.18,http://www.octholding.com,广东省深圳市南山区华侨城办公楼,旅游综合、房地产和纸包装业务。
000070,ST特信,深圳证券交易所,2000-05-11,7.90,http://www.sdgi.com.cn,广东省深圳市南山区高新区中区科丰路2号特发信息港大厦B栋18楼,"光纤、光缆、通信设备、电力电缆、电力通信光缆、金具及附件、无源光纤网络终端、无线路由器、IPTV机顶盒、分离器和智能路由器系列产品、军用航空通讯设备、数据记录仪和弹载计算机的研发、生产、销售,以及通信系统集成及技术服务。"
000078,海王生物,深圳证券交易所,1998-12-18,5.36,http://www.neptunusbio.com,广东省深圳市南山区科技园科技中三路1号海王银河科技大厦24楼,生物制品、生化制品、海洋药物、海洋生物制品、中成药的生产销售。
000088,盐田港,深圳证券交易所,1997-07-28,5.31,http://www.yantian-port.com,广东省深圳市盐田区盐田港海港大厦十七层至十九层,"港口投资开发与经营,码头建设工程管理,收费高速公路经营管理,海关监管仓和其他港口配套仓储经营。"
000089,深圳机场,深圳证券交易所,1998-04-20,6.38,http://www.szairport.com,广东省深圳市宝安区宝安机场T3商务区配套写字楼A栋,航空主业以及航空主业延伸出的非航空业务。
000090,天健集团,深圳证券交易所,1999-07-21,8.00,http://www.tagen.cn,"广东省深圳市福田区莲花街道紫荆社区红荔路7019号天健商务大厦16,17,18,19楼",主营业务：
000096,广聚能源,深圳证券交易所,2000-07-24,6.00,http://www.gj000096.com,广东省深圳市南山区海德三道天利中央商务广场22楼,"成品油批发零售及仓储、土地及物业租赁、化工贸易,以及证券投资、电力企业等股权投资。"
000099,中信海直,深圳证券交易所,2000-07-31,10.20,http://www.cohc.citic,广东省深圳市南山区南海大道3533号深圳直升机场,海上石油、港口引航、陆上通航、通航维修、融资租赁等。
000100,TCL科技,深圳证券交易所,2004-01-30,4.26,http://www.tcltech.com,广东省惠州仲恺高新区惠风三路17号TCL科技大厦,半导体显示产品及材料的研发、生产和销售及产业金融、投资及创投业务。
000151,中成股份,深圳证券交易所,2000-09-06,7.78,http://www.complant-ltd.com,北京市东城区安定门西滨河路9号,成套设备与技术进出口、一般贸易和境外实业投资和项目管理等业务。
000153,丰原药业,深圳证券交易所,2000-09-20,18.80,http://www.bbcayy.com,安徽省合肥市包河区大连路16号,医药制造和商业流通。
000155,川能动力,深圳证券交易所,2000-09-26,6.18,http://www.cndl155.com,四川省成都市武侯区剑南大道中段716号2号楼16楼,"风力发电、光伏发电、垃圾发电等新能源发电业务,锂矿开采、锂盐加工等锂电储能业务,以及环卫一体化和环保设备销售业务。"
000156,华数传媒,深圳证券交易所,2000-09-06,8.98,http://www.wasu.com,浙江省杭州市滨江区长江路179号华数产业园B座9楼,有线电视网络业务、全国范围内的新媒体业务、宽带网络及智慧城市业务等。
000157,中联重科,深圳证券交易所,2000-10-12,12.74,http://www.zoomlion.com,湖南省长沙市银盆南路361号,工程机械和农业机械的研发、制造、销售和服务。
000158,常山北明,深圳证券交易所,2000-07-24,6.18,http://www.csbmkj.com,河北省石家庄市长安区广安大街34号天利商务大厦九层,纯棉纱布和涤棉纱布的生产销售;自产产品和技术的进出口业务;棉花批发、零售;软件及计算机服务业务。
000159,国际实业,深圳证券交易所,2000-09-26,5.88,http://www.xjgjsy.com,新疆乌鲁木齐市新市区常州街189号,"石油石化产品批发、销售、仓储、运输业务,原油炼化、生物柴油等加工业务;能源贸易业务;房地产开发营销;投资金融领域。"
000166,申万宏源,深圳证券交易所,2015-01-26,4.86,http://www.swhygh.com,"新疆乌鲁木齐市高新区北京南路358号大成国际大厦20楼2001室,北京市西城区太平桥大街19号,香港湾仔皇后大道东248号大新金融中心40楼",金融投资、股权投资等。
000301,东方盛虹,深圳证券交易所,2000-05-29,4.18,http://www.jsessh.com,江苏省苏州市吴江区盛泽镇登州路289号国家先进功能纤维创新中心研发大楼西楼,"民用涤纶长丝的研发、生产和销售,电力、热能、平台贸易。"
000333,美的集团,深圳证券交易所,2013-09-18,44.56,http://www.midea.com,"广东省佛山市顺德区北滘镇美的大道6号美的总部大楼,香港九龙观塘道348号宏利广场5楼",美的集团股份有限公司是一家主要从事家用电器的制造和销售的中国公司。该公司主要产品分为消费电器、暖通空调（HAVC）和机器人及自动化系统三类。该公司的产品主要包括中央空调、供暖及通风系统、厨房家电、冰箱、洗衣机和其他小家电，如饮水机、净水设备、空气净化器、电热水壶、吸尘器和加湿器。该公司还从事电机生产和物流业务。该公司的产品销往国内与海外市场。
000338,潍柴动力,深圳证券交易所,2007-04-30,20.47,http://www.weichaipower.com,"山东省潍坊市高新技术产业开发区福寿东街197号甲,香港干诺道中168-200号信德中心招商局大厦2102-03室",内燃机的研发、制造、销售及维修。
